survived,sex,age,n_siblings_spouses,parch,fare,class,deck,embark_town,alone
0,male,22.0,1,0,7.25,Third,unknown,Southampton,n
1,female,38.0,1,0,71.2833,First,C,Cherbourg,n
1,female,26.0,0,0,7.925,Third,unknown,Southampton,y
1,female,35.0,1,0,53.1,First,C,Southampton,n
0,male,28.0,0,0,8.4583,Third,unknown,Queenstown,y
0,male,2.0,3,1,21.075,Third,unknown,Southampton,n
1,female,27.0,0,2,11.1333,Third,unknown,Southampton,n
1,female,14.0,1,0,30.0708,Second,unknown,Cherbourg,n
1,female,4.0,1,1,16.7,Third,G,Southampton,n
1,female,20.0,0,0,7.775,Third,unknown,Southampton,y
1,female,58.0,0,0,26.55,First,C,Southampton,y
1,male,39.0,1,5,31.275,Third,unknown,Southampton,n
0,female,14.0,0,0,7.8542,Third,unknown,Southampton,y
0,male,55.0,0,0,16.0,Second,unknown,Southampton,y
0,male,2.0,4,1,29.125,Third,unknown,Queenstown,n
1,female,55.0,0,0,16.0,Second,unknown,Southampton,y
0,male,14.0,4,1,29.125,Third,unknown,Queenstown,n
1,female,2.0,1,0,10.4625,Third,G,Southampton,n
0,male,31.0,1,0,18.0,Third,unknown,Southampton,n
1,female,35.0,0,0,83.475,First,C,Southampton,y
0,male,35.0,0,0,26.0,Second,unknown,Southampton,y
1,male,34.0,0,0,13.0,Second,unknown,Southampton,y
1,female,15.0,0,0,8.0292,Third,unknown,Queenstown,y
1,male,28.0,0,0,35.5,First,A,Southampton,y
1,female,8.0,3,1,21.075,Third,unknown,Southampton,n
1,female,38.0,1,5,31.3875,Third,unknown,Southampton,n
0,male,19.0,3,2,18.0,Third,unknown,Southampton,n
1,female,28.0,0,0,7.225,Third,unknown,Cherbourg,y
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
0,male,40.0,0,0,9.5,Third,unknown,Southampton,y
0,female,28.0,0,0,7.75,Third,unknown,Queenstown,y
1,female,28.0,1,0,26.0,Second,unknown,Southampton,n
1,female,28.0,0,0,7.8792,Third,unknown,Queenstown,y
0,male,28.0,0,0,8.05,Third,unknown,Southampton,y
0,male,28.0,2,0,24.15,Third,unknown,Southampton,n
0,male,28.0,0,0,7.8958,Third,unknown,Cherbourg,y
1,female,21.0,2,2,262.375,First,B,Cherbourg,n
0,male,18.0,0,0,7.2292,Third,unknown,Cherbourg,y
0,male,14.0,1,0,11.2417,Third,unknown,Cherbourg,n
1,female,40.0,0,0,153.4625,First,C,Southampton,y
0,male,27.0,0,0,8.6625,Third,unknown,Southampton,y
1,female,28.0,1,0,10.5,Second,unknown,Southampton,n
0,male,3.0,1,1,11.1333,Third,unknown,Southampton,n
